"surface","site","reaction energy (eV)","reaction energy difference (eV)","absolute reaction energy difference (eV)"
"Os6Zr6","top|B",0.329454891,-1.087563774,1.087563774
"Mn6W6","top|A",0.327886155,-1.08913251,1.08913251
"Cd6Zn6","hollow|A_B_B|FCC",0.326952805,-1.09006586,1.09006586
"Ir6Ni6","hollow|A_A_B|FCC",0.323209334,-1.093809331,1.093809331
"Co6Rh6","hollow|A_B_B|FCC",0.317961483,-1.099057182,1.099057182
"Ni6Os6","hollow|A_A_B|HCP",0.315182656,-1.101836009,1.101836009
"Cu6Tc6","hollow|A_A_B|FCC",0.307686601,-1.109332064,1.109332064
"Zn12","hollow|A_A_A|FCC",0.307014479,-1.110004186,1.110004186
"Pt12","top|A",2.529101256,1.112082591,1.112082591
"Cu6Ir6","hollow|A_B_B|FCC",0.297193347,-1.119825318,1.119825318
"Fe6Ir6","hollow|A_B_B|FCC",0.294694389,-1.122324276,1.122324276
"Cd6Fe6","hollow-tilt|A_A_B|HCP",0.292584827,-1.124433838,1.124433838
"Ir6Re6","hollow|A_A_B|HCP",0.290742208,-1.126276457,1.126276457
"Os6Zn6","hollow|A_A_B|HCP",0.290630233,-1.126388432,1.126388432
"Co6Ir6","hollow|A_B_B|HCP",0.290400977,-1.126617688,1.126617688
"Os12","hollow|A_A_A|FCC",0.286972479,-1.130046186,1.130046186
"Ir6Ru6","hollow|A_B_B|FCC",0.28486659,-1.132152075,1.132152075
"Pt6Ru6","hollow|A_B_B|HCP",0.283627519,-1.133391146,1.133391146
"Hg6Rh6","4fold|A_A_B_B",2.557730625,1.14071196,1.14071196
"Ag6Ru6","bridge|B_B|B",0.274504087,-1.142514578,1.142514578
"Cu12","top|A",2.560818709,1.143800044,1.143800044
"Cu6Ni6","hollow|A_B_B|HCP",0.271208516,-1.145810149,1.145810149
"Cd6Fe6","hollow-tilt|A_A_B|FCC",0.255223052,-1.161795613,1.161795613
"Co6Zn6","bridge|A_A|B",0.247652301,-1.169366364,1.169366364
"Cr6Os6","top|B",0.24683215,-1.170186515,1.170186515
"Ir6Tc6","hollow|A_A_B|HCP",0.24610615,-1.170912515,1.170912515
"Ni6Ru6","hollow|A_A_B|HCP",0.236160934,-1.180857731,1.180857731
"Ni6Ru6","hollow|A_A_B|HCP",0.236160934,-1.180857731,1.180857731
"Ni6Ru6","hollow|A_A_B|HCP",0.236160934,-1.180857731,1.180857731
"Cu6Mn6","bridge|B_B|A",0.235717116,-1.181301549,1.181301549
"Cu6Ni6","hollow|A_B_B|FCC",0.235364593,-1.181654072,1.181654072
"Fe6Pt6","hollow|A_A_B|FCC",0.231125875,-1.18589279,1.18589279
"Co6Rh6","hollow|A_B_B|HCP",0.224054181,-1.192964484,1.192964484
"Os6Pt6","bridge|A_A|B",0.22335825,-1.193660415,1.193660415
