surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
Cd6Re6,hollow-tilt|A_A_B|FCC,3.133274523,-0.976798612000001,0.976798612000001
Ag6Ir6,hollow-tilt|A_A_B|HCP,3.12616242,-0.983910715,0.983910715
Ir6Pt6,top|A,3.123156515,-0.986916620000001,0.986916620000001
Cd6Y6,bridge|B_B|A,3.123008485,-0.98706465,0.98706465
Hg6Ni6,bridge|B_B|A,3.121509137,-0.988563998,0.988563998
Cu6Rh6,hollow|A_A_B|FCC,3.120562589,-0.989510546,0.989510546
Cd6Cu6,hollow|A_A_B|FCC,5.105211402,0.995138267,0.995138267
Cu6Ir6,hollow|A_A_B|FCC,3.114394721,-0.995678414,0.995678414
Y6Zn6,hollow|A_A_B|FCC,3.114266964,-0.995806171,0.995806171
Ag6W6,hollow|A_A_B|HCP,3.113981108,-0.996092027,0.996092027
Fe6Pd6,hollow|A_B_B|FCC,3.112910748,-0.997162387,0.997162387
Nb6Re6,top|B,3.111116838,-0.998956297,0.998956297
Cu6Os6,hollow|A_A_B|FCC,3.106964381,-1.003108754,1.003108754
Rh6Y6,hollow-tilt|A_B_B|FCC,3.104905159,-1.005167976,1.005167976
Cr6Nb6,top|A,3.099108726,-1.010964409,1.010964409
Pt6Sc6,hollow|A_B_B|FCC,3.096103909,-1.013969226,1.013969226
Pd6Ta6,hollow|A_A_B|FCC,3.086304001,-1.023769134,1.023769134
Cu6Rh6,hollow|A_A_B|HCP,3.084549956,-1.025523179,1.025523179
La6Pt6,hollow|A_A_B|FCC,3.080218992,-1.029854143,1.029854143
V6Zn6,hollow|A_B_B|HCP,3.079789052,-1.030284083,1.030284083
Co6Sc6,top|A,3.07841202,-1.031661115,1.031661115
Co6Sc6,top|A,3.07841202,-1.031661115,1.031661115
Co6Sc6,top|A,3.07841202,-1.031661115,1.031661115
Cd6Pd6,hollow|A_A_B|HCP,5.147967833,1.037894698,1.037894698
Cd6W6,hollow-tilt|A_A_B|FCC,3.065853286,-1.044219849,1.044219849
Cd6Y6,hollow|A_B_B|HCP,3.06461095,-1.045462185,1.045462185
Hg6La6,hollow|A_B_B|HCP,3.062087911,-1.047985224,1.047985224
Cu6Ru6,hollow|A_A_B|HCP,3.053565441,-1.056507694,1.056507694
