surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta
Au6Cr6,349.41,8.72,1.66,6.76651,0.666,359.5,-0.826117891,4.070809687,0.586622301,22.12,5.058614798,2,7.33,6,-0.394555814,bridge|B_B|A,1
Au6Cu6,384.655,8.66,2.30572236101145,8.72582933333333,1.95075333333333,332.7,-3.090140423,1.502463438,0.975496611,3.059,5.135274772,3,7.5,11,2.075916746,hollow|A_A_B|HCP,1
Au6Cu6,384.655,8.66,2.30572236101145,8.72582933333333,1.95075333333333,332.7,-3.0901497,1.502461911,0.975496613,3.059,5.135274772,3,6.95454545454545,11,1.922733798,hollow|A_A_B|FCC,1
Au6Cu6,384.655,8.66,2.09305338821582,8.22610466666667,1.59287666666667,322.9,-2.599135271,1.378927762,0.977128821,3.059,5.135274772,3,7.5,11,1.463114069,hollow|A_B_B|HCP,1
Au6Cu6,384.655,8.66,2.09305338821582,8.22610466666667,1.59287666666667,322.9,-2.599119575,1.378939023,0.977127962,3.059,5.135274772,3,6.95454545454545,11,1.365880039,hollow|A_B_B|FCC,1
Au6Fe6,347.235,8.65,1.83,7.9024681,0.151,360.8,-1.418823151,1.111401856,0.512575933,11.347,4.955491913,1,7.5,8,1.011918303,top|B,1
Au6Fe6,347.235,8.65,1.83,7.9024681,0.151,360.8,-1.418647339,1.111439874,0.512569511,11.347,4.955491913,2,7.33,8,0.027534519,bridge|B_B|A,1
Au6Fe6,347.235,8.65,2.27705143624203,8.78452536666667,1.58942,348.6,-3.126253715,0.94820879,0.500588568,11.347,4.955491913,3,6.95454545454545,9.8921748864974,0.942270358,hollow-tilt|A_A_B|FCC,1
Au6Hf6,363.73,11.825,1.3,6.82507,0.014,655.5,-0.381550462,3.847347761,0.420068859,16.17,4.415486609,1,7.5,4,-1.054402621,top|B,1
Au6Hf6,363.73,11.825,1.3,6.82507,0.014,655.5,-0.382108717,3.847483143,0.420153887,16.17,4.415486609,2,7.33,4,-3.022896715,bridge|B_B|A,1
Au6Hg6,354.16,12.15,2.165864265664,10.0335206666667,0.769543333333333,155.16,-5.31857835,1.791944357,0.990283527,2.588,4.840059981,3,7.5,11.6569533665029,2.174596653,hollow|A_B_B|HCP,1
Au6Ir6,395.86,9.365,2.2,8.96702,1.5638,586,-1.695482726,2.038543505,0.807136075,22.26,5.582955833,1,7.5,9,1.581751213,top|B,1
Au6La6,392.51,16.3,1.1,5.5769,0.47,406.2,-0.856417278,3.478020043,0.474937271,10.76,3.306310049,1,7.5,3,-0.716519139,top|B,1
Au6La6,392.51,16.3,1.1,5.5769,0.47,406.2,-0.856451333,3.477966142,0.474952475,10.76,3.306310049,2,7.33,3,-2.642799261,bridge|B_B|A,1
Au6Mo6,361.26,9.795,2.16,7.09243,0.748,636,-0.727665192,3.459575882,0.560109724,14.49,5.194921448,1,7.5,6,-0.90069735,top|B,1
Au6Mo6,361.26,9.795,2.16,7.09243,0.748,636,-0.727595414,3.45948058,0.560087609,14.49,5.194921448,2,7.33,6,-1.197254223,bridge|B_B|A,1
Au6Nb6,368.93,10.52,1.6,6.75885,0.916,716.8,-0.589836864,3.501596513,0.517377326,8.329,4.763288304,1,7.5,5,-1.078818035,top|B,1
Au6Nb6,368.93,10.52,1.6,6.75885,0.916,716.8,-0.590284836,3.501743337,0.517458458,8.329,4.763288304,2,7.33,5,-1.781963051,bridge|B_B|A,1
Au6Ni6,380.11,8.4,1.91,7.639878,1.156,395.2,-0.921301604,0.882634079,0.474653459,20.238,5.280112986,2,7.33,10,0.737789598,bridge|B_B|A,1
Au6Ni6,380.11,8.4,2.30976041192474,8.69699533333333,1.92442,360.066666666667,-2.634302889,1.262243496,0.482907377,20.238,5.280112986,3,6.95454545454545,10.6560223676661,1.573821407,hollow|A_A_B|FCC,1
Au6Pd6,398.445,9.385,2.42119650324009,8.92931566666667,1.72642,360.566666666667,-2.431799662,1.575362968,0.963238572,11.87,5.49402366,3,7.5,10.6560223676661,2.426776929,hollow|A_A_B|HCP,1
Au6Pd6,398.445,9.385,2.42119650324009,8.92931566666667,1.72642,360.566666666667,-2.431818275,1.575340528,0.963240105,11.87,5.49402366,3,6.95454545454545,10.6560223676661,2.198265115,hollow|A_A_B|FCC,1
