Valence Electrons,reaction energy (eV)
10,-0.099984012
9.5,-0.190297779
9.5,-0.152468105
9.333333333,-0.216816905
9.333333333,-0.230977301
9.666666667,-0.145648252
9.666666667,-0.144528095
9,-0.386830094
7,-0.035166088
8.333333333,-0.187914606
8.333333333,-0.223491722
7.666666667,-0.385549935
7.666666667,-0.387656232
9,-0.007063803
9,-0.224477454
9,-0.068056351
9,-0.18990784
9,-0.24611513
9,-0.208092663
9,-0.231755003
9,-0.113591201
8,-0.148559734
8.666666667,-0.146489356
8.666666667,-0.179791464
8.333333333,-0.218297068
8.333333333,-0.291632428
9,-0.432541137
5,-0.775222258
7.666666667,-0.408376748
7.666666667,-0.361739566
6.333333333,-0.58081039
6.333333333,-0.65169863
7,0.150053639
9,-0.138349342
7,-0.321723185
8.333333333,-0.238594448
8.333333333,-0.259234691
7.666666667,-0.394722076
7.666666667,-0.45646974
4,0.448923887
7.333333333,-0.181467141
5.666666667,-0.521716788
7.666666667,-0.426601572
7.666666667,-0.38351602
6.333333333,-0.548892933
6.333333333,-0.684479776
9,-0.215200141
8,-0.349869416
8,-0.364350906
7,-0.559357887
7,-0.554002687
3,1.032559635
9,-0.515766883
3,0.049362267
5,-0.762607877
9,-0.459237138
12,1.059458904
9,-0.447340593
10.5,0.319697569
4,0.311617285
9,-0.069308891
5.666666667,-0.503276449
3,0.387234727
3,-0.417776649
3,-0.687573846
3,-0.671628928
3,0.00218004
7,-0.209180438
4.333333333,-0.388703734
5.666666667,-0.385024891
6,-0.859018082
3,-0.872222406
6,-0.243529232
6,-0.759627278
4,-0.457862282
5,-0.093585391
5,-0.844618362
5,-0.823802197
3,0.322490546
4,-0.712950366
5,-0.839600446
3.666666667,-0.591758482
3.666666667,-0.72132535
10,-0.127524654
3,-0.303169919
10,-0.285975182
5.333333333,-0.432811891
7.666666667,-0.431053355
4.666666667,-0.94854612
3,0.372900451
10,0.182428519
3,-0.077728638
10,-0.079309755
5.333333333,-0.307524829
7.666666667,-0.305102607
10,0.173926866
5.333333333,-0.207741637
3,1.083394173
7,-0.704627493
7,-0.85028935
3,0.778365853
3,-0.146236018
9,-0.458281202
5,-0.746217372
3,0.963893884
8,-0.561991813
3,0.047613255
8,-0.605296281
4.666666667,-0.811296389
3,-0.69954495
3,-0.840083584
3,-0.761360779
3,-0.706487118
3,-0.77957295
5,-0.886516818
3,-0.057109892
5,-0.857171789
3,0.392296725
5,-0.862257461
3.666666667,-0.571950091
3.666666667,-0.727723835
3,0.197191103
7,-0.591700113
5,-0.731883503
4.333333333,-0.735187645
4,-0.801872135
3.333333333,-0.897293614
3.666666667,-0.731337779
3,0.069056506
3,-0.161114658
6,-0.843988282
6,-0.856283338
3,-0.34171811
3,-0.789961848
3,-0.762216713
3,-0.787398264
3,-0.846777041
3,-0.395414741
12,-0.229008422
6,-0.445903968
7.5,-0.225682646
4,-0.87913505
3.333333333,-0.799880534
3.333333333,-0.625478148
3.666666667,-0.828079282
3.666666667,-0.879774517
6.666666667,-0.65083426
6.666666667,-0.611014618
6.333333333,-0.636446105
6.333333333,-0.559846876
7,-0.580273917
5.666666667,-0.762061472
9,1.481918496
7.666666667,1.350974323
8.333333333,1.439444247
8.333333333,1.352422649
7,0.609511461
8,0.140705712
7,0.048324288
8,-0.064537375
7.333333333,-0.213722699
7.666666667,-0.130516409
7,-0.632565898
5,-0.506966993
5.666666667,-0.838457568
7,0.05002051
6,-0.131738473
6.666666667,-0.494414246
6.333333333,-0.66188766
3,0.750678542
7,-0.33896459
3,-0.267419195
5.666666667,-0.371636618
4.333333333,-0.530493548
7,0.452097143
7,-0.166167948
8.666666667,-0.188327131
10.33333333,0.313587933
10.33333333,0.45831059
7,-0.151278015
4,0.47352189
7,-0.566010662
4,-0.484038001
5,-0.755374274
6,0.150029421
6,-0.989087
6,-0.7747315
6,0.15322567
5,-0.662635157
5.5,-0.629885712
5.666666667,-0.851336308
5.666666667,-0.742286143
5.333333333,-0.811387547
5.333333333,-0.783710849
10,-0.516578734
7.333333333,-0.60661372
7.333333333,-0.586107086
8.666666667,-0.430865868
8.666666667,-0.431750919
6,-0.34842177
8,-0.404833282
6.666666667,-0.593537562
6.666666667,-0.644105837
7.333333333,-0.503360941
7.333333333,-0.514129574
6,-0.59127167
10,-0.01818564
7.333333333,-0.542362201
7.333333333,-0.604244425
8.666666667,-0.30236487
8.666666667,-0.273631009
7.333333333,-0.470261149
7.333333333,-0.388205357
8.666666667,-0.072425955
8.666666667,-0.16568481
6,0.316285126
7,-0.022366669
7,-0.438248725
6.333333333,-0.707433938
6.333333333,-0.767018298
6.666666667,-0.725657266
6.666666667,-0.699540324
9,-0.523297633
7,-0.579404514
7,-0.638534034
8,-0.453256348
8,-0.421788423
6,-0.43234263
6.666666667,-0.603301959
6.666666667,-0.665646097
7.333333333,-0.542904252
7.333333333,-0.540342436
6,-0.495989921
6,-0.495989921
6,-0.495989921
5,-0.880356841
5,-0.880356841
5,-0.880356841
5,-0.797366066
5,-0.797366066
5,-0.797366066
4,-0.718384752
4,-0.718384752
4,-0.718384752
4,-0.748612109
4,-0.748612109
4,-0.748612109
5.666666667,-0.762381614
5.333333333,-0.80921431
6.333333333,-0.680210446
6.333333333,-0.71537735
6.666666667,-0.676703034
6.666666667,-0.664167294
6,-0.605260634
5.333333333,-0.862350524
5.333333333,-0.759495166
4.666666667,-0.860625594
4.666666667,-0.831582612
5.666666667,-0.79881031
5.666666667,-0.752395036
5.333333333,-0.865465411
5.333333333,-0.808861243
6,0.151298424
6,-0.542738806
6,-0.66852234
6,-0.746343224
6,-0.753490974
6,-0.766593256
6,-0.74101129
6,0.03893364
6,-0.834921449
3,0.102746104
5,-0.831015935
4,-0.632821821
6,-0.621623112
12,-0.620832485
8,0.090295263
10,0.098867801
10,-0.050885968
4,0.646948611
6,-0.765718818
4,-0.764454713
5.333333333,-0.870364004
4.666666667,-0.87168743
5,0.122014893
5,-0.943553103
5,-0.873487191
10,-0.521059905
6.666666667,-0.715174081
6.666666667,-0.661540035
8.333333333,-0.480931822
8.333333333,-0.500469867
5,0.223389543
6,-0.659958237
7,-0.314538427
5,0.178437697
5,-0.617522764
10,-0.082525733
6.666666667,-0.637409932
6.666666667,-0.601748461
8.333333333,-0.263753549
8.333333333,-0.288705844
6.666666667,-0.590736422
6.666666667,-0.411627692
8.333333333,-0.124256294
8.333333333,-0.211498984
5,0.50031449
7,-0.238788737
5.666666667,-0.883223832
6.333333333,-0.545341167
5,-0.508119259
6.333333333,-0.611105368
6.333333333,-0.729951087
7.666666667,-0.527363966
7.666666667,-0.436995233
6,-0.628619703
7,-0.389703072
3,0.455520063
3,-0.441874914
4.333333333,-0.942171445
4.333333333,-0.839167513
3.666666667,-0.872307033
3.666666667,-0.839274862
5,-0.952307277
5,-0.841050949
5,-0.972541526
5,-0.882166534
5,0.396337071
7,-0.559529319
5.666666667,-0.800164212
6.333333333,-0.572045331
4.666666667,-0.959663194
4.666666667,-0.843196295
4.333333333,-0.937078698
4.333333333,-0.8877548
5,-0.882277692
5,-0.810493654
5,-0.918787342
5,-0.873371679
5.333333333,-1.350000428
5.333333333,-0.809907112
5.666666667,-0.903549375
5.666666667,-0.797569062
3,-0.400032105
4.333333333,-0.917184183
4.333333333,-0.858490181
3.666666667,-0.796087539
3.666666667,-0.73771463
5,-0.732357253
7.333333333,-0.752721573
9.666666667,-0.028782161
9.666666667,0.047400734
4.666666667,-0.937619388
4.666666667,-0.826637759
4.333333333,-0.877374473
4.333333333,-0.813385135
10,0.312019333
10,-0.034838735
8,-0.346483367
9,-0.266027196
9.333333333,-0.295499574
9.333333333,-0.229834695
8.666666667,-0.33534221
