Valence Electrons,Adsorption Energy (eV)
3.333333333,1.751400857
3.333333333,1.968100482
4,1.953499533
6.666666667,1.964539464
8,1.009584383
4,1.114136778
4,1.174158152
4,1.286878725
4,1.335109542
9,3.320889804
3,3.21961883
6,3.062087911
9.666666667,3.614289204
10,3.121509137
11.33333333,4.571704602
11.33333333,5.27775076
11.33333333,5.231124598
9,3.45301876
9,1.981092149
6,2.919639173
7.5,2.169915071
5,1.737143589
9.666666667,3.629189341
4,2.005152318
9.333333333,4.058527699
9.333333333,3.741125818
9.333333333,3.741416299
6,3.292448058
6,3.287039523
7.5,2.36121314
9.333333333,3.821288514
6.666666667,2.152428491
9,3.426523308
9,1.88966081
9,2.244876583
9,1.518371954
5,2.745851085
8.333333333,2.359272832
8.333333333,2.67574939
7.666666667,2.525084311
8,1.763987075
8,2.277959639
7,1.77607614
7,1.82802825
7.666666667,1.704082438
7.666666667,1.862780997
6.333333333,1.637041207
9.333333333,1.727759879
9.333333333,1.918521204
9.666666667,2.339676962
9.666666667,2.527395646
9,3.637818479
8,3.051122267
8.5,3.2320079
8.666666667,2.164598646
8.666666667,2.683271841
8.333333333,1.709302806
8.333333333,2.139509342
9.333333333,1.538341572
9.333333333,1.708695312
9.666666667,2.413361444
9.666666667,2.578913735
9,3.123156515
10,4.317716402
9.333333333,1.678740204
9.333333333,1.802499346
9.666666667,2.220673689
9.666666667,2.349262853
8.333333333,1.999558338
8.333333333,2.65153466
7.666666667,1.626823741
7.666666667,1.943567786
9,1.698238249
9,2.064652322
9,2.057340623
9,2.360966741
8.666666667,1.942069936
8.666666667,2.475065434
8.333333333,1.875739875
8.333333333,2.302921458
9,1.667561767
5,3.021070967
7.666666667,1.925742833
7.666666667,2.010847661
6.333333333,1.42147276
9,3.842028622
8.333333333,1.864708516
8.333333333,2.505136598
7.666666667,1.747814941
7.666666667,2.112557147
7.333333333,2.725765682
5.666666667,2.280049201
7.666666667,1.731434505
7.666666667,1.99595283
6.333333333,1.665885002
8,1.956287476
8,2.435881449
7,1.72981325
7,1.695366632
9,1.316527568
5,2.864505372
9,1.592259297
3,4.97246502
3,1.839902482
3,2.209523281
7,1.342907236
4.333333333,2.246640425
6,0.775008784
4,2.03727767
5,0.94797332
3.666666667,2.060853205
3.666666667,1.947884464
10,1.946629203
5.333333333,2.606402539
3,7.496361146
3,6.159306534
5.333333333,2.918400511
6.5,2.407648142
10,2.733575349
5.333333333,3.080218992
3,7.269551404
7,1.488957264
3,6.982316472
9,3.831129919
9,2.010220574
6,4.178295475
5,2.970730995
8,1.13197765
3,1.087686361
3,2.096362428
3,2.271318429
3,1.493886198
3,1.70884824
5,0.850889497
3.666666667,2.019693538
4.333333333,0.677259507
3.666666667,1.888176838
7,0.821817535
7,1.869157985
4,0.526317144
5,0.334540971
4,1.92554487
4,1.939591931
3,1.605617093
3,2.288234657
3,1.706533639
3,2.097938239
3,1.934841776
6,2.93402692
3.333333333,2.012838582
3.333333333,2.143324651
3.666666667,1.162705561
3.666666667,1.305268994
6.666666667,1.517795889
6.333333333,1.496570057
6.333333333,1.504054548
7,0.85265606
5.666666667,1.715640201
8.5,2.758326416
7,4.422950306
8,4.53822562
7,4.357380667
8,4.211434587
8,2.937726308
8,1.827539942
7.5,1.532449899
7,0.881301892
5,2.035513828
5.666666667,1.621280238
6.333333333,1.030438371
6.5,0.660295386
7,0.907120053
5,1.838175784
4.333333333,2.059706925
7,2.393575231
10.33333333,3.231892388
10.33333333,3.221671928
7,2.81422785
4,5.331336913
7,0.772304109
5.5,2.293977484
5,2.051355479
6,4.001872917
6,1.134830764
6,1.083346689
6,1.833897882
5.666666667,1.209958537
5.666666667,1.165175402
5.333333333,1.37883293
5.333333333,1.175953151
7.333333333,1.89413409
7.333333333,1.991060631
8.666666667,2.192337523
6.666666667,1.602811871
6.666666667,1.717840105
7.333333333,1.208521368
7.333333333,1.485213794
7.333333333,1.713947245
7.333333333,1.88605884
8.666666667,2.513866963
8.666666667,2.735525862
10,3.790806321
7.333333333,1.759121679
7.333333333,2.00197811
8.666666667,2.510177507
8.666666667,2.72799171
6.333333333,1.404203872
6.333333333,1.400260806
6.666666667,1.090090487
6.666666667,1.148073184
7,1.749373745
7,1.755178206
8,1.923733545
8,2.37558007
6.666666667,1.666186776
6.666666667,1.695728951
7.333333333,1.375850154
7.333333333,1.707572434
5,1.077728899
5,1.077728899
5,1.077728899
5,1.240894207
5,1.240894207
5,1.240894207
4,1.737020049
4,1.737020049
4,1.737020049
4,1.483848191
4,1.483848191
4,1.483848191
6,0.99134296
5.333333333,1.39548344
6,4.199358039
7,3.643132046
6.333333333,1.514018677
6.333333333,1.528085193
6.666666667,1.248992179
6.666666667,1.393060674
5.333333333,1.325873182
5.333333333,1.333238079
4.666666667,1.493112987
4.666666667,1.296989659
5.666666667,1.374438427
5.666666667,1.272320907
5.333333333,1.321130238
5.333333333,1.272667308
6,1.086712465
6,1.035228119
6,0.981514752
6,0.994858126
6,0.734244771
4,1.61145652
4,1.707825092
8,2.127712527
8,2.054952552
10,3.194221356
10,2.996337724
6,0.398795212
4.666666667,1.741775647
5,1.584946917
5,4.033442748
5,0.910632907
5,0.728154183
10,1.740227047
6.666666667,2.119377544
6.666666667,2.000661215
8,1.655165213
6,1.600243389
7,1.907694067
6.666666667,2.06219078
6.666666667,2.028585946
8.333333333,2.85980515
8.333333333,3.019686724
6.666666667,2.147865414
6.666666667,2.119152778
8.333333333,2.85338925
8.333333333,2.952963731
5,5.167315943
7,3.111116838
7,0.796065906
5.666666667,1.639546967
6.333333333,1.635388796
7.666666667,1.958980858
7.666666667,2.152878295
5,1.843052064
6,1.537922109
4.333333333,1.179115114
4.333333333,1.322039234
3.666666667,1.665420776
3.666666667,1.588600046
5,1.335982483
5,1.140747471
5,1.160411097
5,0.916639275
5,1.948953736
7,1.17924015
5.666666667,1.766363989
4,2.271318565
4.666666667,1.401297968
4.666666667,1.320359748
4.333333333,1.364074836
4.333333333,1.167453812
5,1.471319253
5,1.349348035
5,1.252336322
5,1.09162276
6,1.625276774
5.333333333,1.296708021
5.333333333,1.092159368
5.666666667,1.026734902
5.666666667,0.931442132
5,1.136454603
4.333333333,0.865816166
3.666666667,1.7197581
3.666666667,1.705689542
7.333333333,1.985552503
7.333333333,1.87763746
4.666666667,1.220943093
4.666666667,1.13549581
4.333333333,1.488755356
4.333333333,1.323482798
