Sublimation Energy,reaction energy (eV)
567.4666667,0.843876579
567.4666667,1.15773513
479.4333333,1.751400857
479.4333333,1.968100482
655.5,1.953499533
479.1166667,1.964539464
390.925,1.009584383
637.3333333,1.114136778
637.3333333,1.174158152
619.1666667,1.286878725
619.1666667,1.335109542
586,3.320889804
406.2,3.21961883
291.2966667,3.062087911
279.9266667,3.614289204
395.2,3.121509137
172.7266667,4.571704602
173.2266667,5.27775076
173.2266667,5.231124598
516.7,3.45301876
516.7,1.981092149
243.1633333,2.919639173
197.745,2.169915071
771,1.737143589
297.9933333,3.629189341
443.7,2.005152318
188.8933333,4.058527699
188.8933333,3.741125818
188.8933333,3.741416299
281.43,3.292448058
281.43,3.287039523
226.445,2.36121314
241.3266667,3.821288514
421.1633333,2.152428491
586,3.426523308
586,1.88966081
586,2.244876583
586,1.518371954
466.1333333,2.745851085
468.4,2.359272832
468.4,2.67574939
350.8,2.525084311
602.6666667,1.763987075
602.6666667,2.277959639
619.3333333,1.77607614
619.3333333,1.82802825
629.6,1.704082438
629.6,1.862780997
673.2,1.637041207
522.4,1.727759879
522.4,1.918521204
458.8,2.339676962
458.8,2.527395646
586,3.637818479
661,3.051122267
623.5,3.2320079
611,2.164598646
611,2.683271841
636,1.709302806
636,2.139509342
522.9,1.538341572
522.9,1.708695312
459.8,2.413361444
459.8,2.578913735
586,3.123156515
510,4.317716402
560.6666667,1.678740204
560.6666667,1.802499346
535.3333333,2.220673689
535.3333333,2.349262853
636.6666667,1.999558338
636.6666667,2.65153466
687.3333333,1.626823741
687.3333333,1.943567786
562.9,1.698238249
562.9,2.064652322
539.8,2.057340623
539.8,2.360966741
592.5666667,1.942069936
592.5666667,2.475065434
599.1333333,1.875739875
599.1333333,2.302921458
586,1.667561767
418,3.021070967
647.6666667,1.925742833
647.6666667,2.010847661
709.3333333,1.42147276
586,3.842028622
581.6666667,1.864708516
581.6666667,2.505136598
577.3333333,1.747814941
577.3333333,2.112557147
538.5666667,2.725765682
491.1333333,2.280049201
549.2666667,1.731434505
549.2666667,1.99595283
512.5333333,1.665885002
669,1.956287476
669,2.435881449
752,1.72981325
752,1.695366632
586,1.316527568
456.2666667,2.864505372
586,1.592259297
406.2,4.97246502
406.2,1.839902482
406.2,2.209523281
233.2,1.342907236
348.5333333,2.246640425
636,0.775008784
482.8,2.03727767
716.8,0.94797332
509.7333333,2.060853205
509.7333333,1.947884464
395.2,1.946629203
402.5333333,2.606402539
406.2,7.496361146
406.2,6.159306534
403.0333333,2.918400511
401.45,2.407648142
510,2.733575349
440.8,3.080218992
406.2,7.269551404
738,1.488957264
406.2,6.982316472
516.7,3.831129919
516.7,2.010220574
461.45,4.178295475
443.0333333,2.970730995
605.7,1.13197765
406.2,1.087686361
382.1333333,2.096362428
382.1333333,2.271318429
358.0666667,1.493886198
358.0666667,1.70884824
771,0.850889497
527.8,2.019693538
649.4,0.677259507
527.8,1.888176838
573,0.821817535
573,1.869157985
443.7,0.526317144
475.8,0.334540971
549.1333333,1.92554487
549.1333333,1.939591931
401.2666667,1.605617093
401.2666667,2.288234657
396.3333333,1.706533639
396.3333333,2.097938239
406.2,1.934841776
312.9166667,2.93402692
471.1333333,2.012838582
471.1333333,2.143324651
536.0666667,1.162705561
536.0666667,1.305268994
367.4666667,1.517795889
501.7333333,1.496570057
501.7333333,1.504054548
233.2,0.85265606
555.6,1.715640201
314.2,2.758326416
233.2,4.422950306
287.7,4.53822562
233.2,4.357380667
325.4666667,4.211434587
374.95,2.937726308
605.7,1.827539942
419.45,1.532449899
233.2,0.881301892
771,2.035513828
591.7333333,1.621280238
634.4,1.030438371
534.1,0.660295386
233.2,0.907120053
312.3,1.838175784
338.6666667,2.059706925
233.2,2.393575231
161.9666667,3.231892388
161.9666667,3.221671928
233.2,2.81422785
601,5.331336913
233.2,0.772304109
417.1,2.293977484
478.4,2.051355479
636,4.001872917
636,1.134830764
636,1.083346689
636,1.833897882
662.9333333,1.209958537
662.9333333,1.165175402
689.8666667,1.37883293
689.8666667,1.175953151
555.7333333,1.89413409
555.7333333,1.991060631
475.4666667,2.192337523
644.3333333,1.602811871
644.3333333,1.717840105
652.6666667,1.208521368
652.6666667,1.485213794
556.2333333,1.713947245
556.2333333,1.88605884
476.4666667,2.513866963
476.4666667,2.735525862
510,3.790806321
594,1.759121679
594,2.00197811
552,2.510177507
552,2.72799171
670,1.404203872
670,1.400260806
704,1.090090487
704,1.148073184
596.2333333,1.749373745
596.2333333,1.755178206
556.4666667,1.923733545
556.4666667,2.37558007
625.9,1.666186776
625.9,1.695728951
615.8,1.375850154
615.8,1.707572434
535.3333333,1.077728899
535.3333333,1.077728899
535.3333333,1.077728899
535.3333333,1.240894207
535.3333333,1.240894207
535.3333333,1.240894207
434.6666667,1.737020049
434.6666667,1.737020049
434.6666667,1.737020049
434.6666667,1.483848191
