surface,LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE,RxnE
Cd6Rh6,339.14,2.28,1.826315506,0.874326284,12.2,4.801682908,2,7.33,9,0.755444072
Cd6Rh6,339.14,1.96295695317039,3.945213116,0.936338223,12.2,4.801682908,2,7.33,10.3923048454133,1.417697589
Cd6Rh6,339.14,1.86739454323688,3.716606194,0.95668858,12.2,4.801682908,3,6.95454545454545,10.9027235569928,1.235581049
Cd6Rh6,339.14,2.0634096923733,3.801195658,0.915842535,12.2,4.801682908,3,7.5,9.90578174668388,0.721732024
Cd6Rh6,339.14,1.96295695317039,3.945179476,0.936350625,12.2,4.801682908,5,7.615384615,10.3923048454133,1.637444072
Cd6Sc6,314.42,1.36,1.786950025,0.291176464,13.8,4.038320537,2,7.33,3,-2.971840404
Cd6Ta6,314.035,1.5,4.210502422,0.428835382,13.93,4.612000481,1,7.5,5,-1.224046007
Cd6Ta6,314.035,1.69,2.060776009,0.994533195,13.93,4.612000481,2,7.33,12,-2.286633132
Cd6Ta6,314.035,1.5,4.210396908,0.428833049,13.93,4.612000481,2,7.33,5,-2.289746114
Cd6Ta6,314.035,1.5,4.210502422,0.428835382,13.93,4.612000481,1,7.5,5,-1.326918099
Cd6Tc6,285.72,1.9,3.618734454,0.64021297,15.74,4.64052348,1,7.5,7,0.481163526
Cd6Tc6,285.72,1.79192633777173,4.739970303,0.822893176,15.74,4.64052348,2,7.33,9.16515138991168,0.435261459
Cd6Tc6,285.72,1.9,3.618945713,0.640160511,15.74,4.64052348,2,7.33,7,0.39931182
Cd6Ti6,296.51,1.54,2.183988738,0.413848732,17.08,4.331711101,2,7.33,4,-2.739338449
Cd6Ti6,296.51,1.63844314876406,4.01317481,0.847478854,17.08,4.331711101,3,6.95454545454545,8.32033529220762,-1.179526278
Cd6Ti6,296.51,1.63844314876406,4.013718637,0.84737728,17.08,4.331711101,3,7.5,8.32033529220762,-1.283942072
Cd6V6,300.47,1.63,2.83188095,0.502404353,19.87,4.543196329,2,7.33,5,-2.011007936
Cd6V6,300.47,1.63,2.83188095,0.502404353,19.87,4.543196329,2,7.33,5,-2.006093968
Cd6V6,300.47,1.63,2.831942038,0.502657606,19.87,4.543196329,1,7.5,5,-0.986876211
Cd6V6,300.47,1.66975853178631,4.178352352,0.857727593,19.87,4.543196329,3,6.95454545454545,8.96280949311433,-0.777885708
Cd6W6,307.23,2.36,4.172349636,0.556782464,6.084,4.796624312,1,7.5,6,-1.071517629
Cd6W6,307.23,2.36,4.172337941,0.556776429,6.084,4.796624312,2,7.33,6,-1.470453931
Cd6W6,307.23,2.36,4.172337941,0.556776429,6.084,4.796624312,2,7.33,6,-1.462704946
Cd6Y6,331.34,1.22,2.5972979,0.32939222,10.44,3.831187511,1,7.5,3,-0.212418593
Cd6Y6,331.34,1.69,1.110728645,0.996818156,10.44,3.831187511,2,7.33,12,-2.826294739
Cd6Y6,331.34,1.22,2.59747464,0.329430014,10.44,3.831187511,2,7.33,3,-2.8302076
Cd6Y6,331.34,1.43589693223434,4.558796532,0.760276779,10.44,3.831187511,2,7.33,6,-1.102929498
Cd6Y6,331.34,1.43589693223434,4.55885511,0.76024785,10.44,3.831187511,5,7.615384615,6,-1.548277673
Cd6Zn6,282.215,1.67656006728248,1.047609538,0.997322162,0.9518,4.277023517,3,7.5,12,0.482898796
Cd6Zn6,282.215,1.67656006728248,1.047611011,0.997322121,0.9518,4.277023517,3,6.95454545454545,12,0.607710611
Cd6Zn6,282.215,1.66322701728179,1.001147022,0.997554641,0.9518,4.277023517,3,7.5,12,0.134888054
Cd6Zn6,282.215,1.66322701728179,1.001146938,0.997554743,0.9518,4.277023517,3,6.95454545454545,12,0.326952805
Cd6Zr6,310.57,1.33,3.055164519,0.446179923,15.6,4.208552449,2,7.33,4,-2.738200741
Cd6Zr6,310.57,1.4992331373072,4.694352195,0.775515748,15.6,4.208552449,2,7.33,6.92820323027551,-0.006902031
Cd6Zr6,310.57,1.5603008678956,4.150302555,0.857952165,15.6,4.208552449,3,6.95454545454545,8.32033529220762,-1.125139701
Cd6Zr6,310.57,1.5603008678956,4.149135694,0.8580944,15.6,4.208552449,3,7.5,8.32033529220762,-1.178505987
Co12,250.71,1.88,1.654108239,0.491887973,12.023,5.169206329,1,7.5,9,1.332403778
Co12,250.71,1.88,1.655552846,0.491872776,12.023,5.169206329,3,7.5,9,-0.253032128
Co12,250.71,1.88,1.653921765,0.491892777,12.023,5.169206329,3,6.95454545454545,9,-0.20143499
Co6Cu6,306.1,1.88,1.361042939,0.489765635,7.3807,5.046894399,2,7.33,9,0.062586591
Co6Cu6,306.1,1.8866431647417,1.243017311,0.490141657,7.3807,5.046894399,3,7.5,9.62260298998748,-0.079230978
Co6Cu6,306.1,1.8866431647417,1.243010376,0.490143155,7.3807,5.046894399,3,6.95454545454545,9.62260298998748,-0.097794856
Co6Cu6,306.1,1.89330980375881,1.159312368,0.490523886,7.3807,5.046894399,3,7.5,10.2882764781018,0.513194183
Co6Cu6,306.1,1.89330980375881,1.159354125,0.490520121,7.3807,5.046894399,3,6.95454545454545,10.2882764781018,0.423933905
Co6Fe6,268.68,1.84651713844134,1.63980906,0.509247182,0.0001089,4.977050422,3,7.5,8.32033529220762,1.174589589
Co6Fe6,268.68,1.85483152873785,1.511846583,0.508018532,0.0001089,4.977050422,5,7.615384615,8.48528137423857,1.080796439
Co6Hf6,285.175,1.47010442437722,4.342455034,0.297399355,8.647,4.327653404,3,6.95454545454545,5.24148278841779,-2.702924719
Co6Hf6,285.175,1.56332977966902,3.765497901,0.334343197,8.647,4.327653404,5,7.615384615,6,-1.766781004
Co6Hg6,275.605,1.88,0.849038266,0.488083156,24.893,4.676284053,1,7.5,9,1.065374795
Co6Hg6,275.605,2,1.123338111,0.497680956,24.893,4.676284053,1,7.5,12,3.657370267
Co6Hg6,275.605,1.88,0.849038266,0.488083156,24.893,4.676284053,1,7.5,9,1.080803377
Co6Ir6,317.305,2.2,2.347842999,0.433783831,15.361,5.398871809,1,7.5,9,1.358237858
Co6Ir6,317.305,1.98112917260802,1.607916603,0.468483208,15.361,5.398871809,3,7.5,9,0.374171766
Co6Ir6,317.305,1.98112917260802,1.607928866,0.468484364,15.361,5.398871809,3,6.95454545454545,9,0.353940647
