Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site
Co2Hf2,-0.989185855,5.326099116,0.669356407,bridge|A_B|A
Co2Hf2,-0.989064402,5.326142411,0.669329098,bridge|A_B|B
Co2Hf2,-0.71835825,7.75575235,0.419392946,bridge|B_B|A
Co2Hf2,-0.989483316,5.326027191,0.669407081,bridge|B_B|B
Co2Hf2,-1.060789005,4.468272198,0.73530195,hollow|A_A_A|FCC
Co2Hf2,-0.909612263,6.143506115,0.595777502,hollow|A_A_A|HCP
Co2Hf2,-1.060870689,4.468257615,0.735320028,hollow|A_A_B|FCC
Co2Hf2,-0.909364954,6.143495525,0.595734229,hollow|A_A_B|HCP
Co2Hf2,-0.909612263,6.143506115,0.595777502,hollow|A_B_B|FCC
Co2Hf2,-1.060789005,4.468272198,0.73530195,hollow|A_B_B|HCP
Co2Hf2,-1.183134369,2.347836558,0.848393796,top|A
Co2Hf2,-0.718202416,7.755784135,0.419364248,top|B
Co2Hg2,-4.466917511,2.747331939,0.98264213,4fold|A_A_B_B
Co2Hg2,-2.161037386,1.413758452,0.969916821,bridge|A_A|A
Co2Hg2,-2.161037386,1.413758452,0.969916821,bridge|A_A|B
Co2Hg2,-4.465412078,2.748597051,0.982603505,bridge|A_B|A
Co2Hg2,-4.465434021,2.748594771,0.982604284,bridge|A_B|B
Co2Hg2,-6.761006986,1.586072551,0.995301766,bridge|B_B|A
Co2Hg2,-4.46834863,2.746022971,0.982678738,bridge|B_B|B
Co2Hg2,-3.699640541,2.623332493,0.978408115,hollow|A_A_A|FCC
Co2Hg2,-5.233901772,2.651759625,0.98689405,hollow|A_A_A|HCP
Co2Hg2,-3.699619831,2.623324451,0.978407597,hollow|A_A_B|FCC
Co2Hg2,-5.231972755,2.654051741,0.986844777,hollow|A_A_B|HCP
Co2Hg2,-5.233901772,2.651759625,0.98689405,hollow|A_B_B|FCC
Co2Hg2,-3.699640541,2.623332493,0.978408115,hollow|A_B_B|HCP
Co2Hg2,-2.158047069,1.413909127,0.969841867,top|A
Co2Hg2,-6.761040254,1.58601037,0.995302631,top|B
Co2Ir2,-2.422749094,2.687300128,0.916285435,4fold|A_A_B_B
Co2Ir2,-2.559757535,1.801827075,0.963998356,bridge|A_A|A
Co2Ir2,-2.559757535,1.801827075,0.963998356,bridge|A_A|B
Co2Ir2,-2.422741373,2.687219419,0.916285024,bridge|A_B|A
Co2Ir2,-2.422777836,2.687204465,0.916288659,bridge|A_B|B
Co2Ir2,-2.282291287,3.355030382,0.867369373,bridge|B_B|A
Co2Ir2,-2.422690135,2.68721332,0.916280444,bridge|B_B|B
Co2Ir2,-2.468798456,2.426802615,0.932324271,hollow|A_A_A|FCC
Co2Ir2,-2.376340291,2.925457092,0.900120637,hollow|A_A_A|HCP
Co2Ir2,-2.46877999,2.426813291,0.932322815,hollow|A_A_B|FCC
Co2Ir2,-2.37640218,2.92574625,0.90012318,hollow|A_A_B|HCP
Co2Ir2,-2.376340291,2.925457092,0.900120637,hollow|A_B_B|FCC
Co2Ir2,-2.468798456,2.426802615,0.932324271,hollow|A_B_B|HCP
