adsorbate,surface,reaction energy (eV),site,S. designation
O,Co6Pd6,0.871470963,hollow|A_B_B|HCP,L1_o
O,Co6Pd6,0.84923314,hollow|A_B_B|FCC,L1_o
O,Co6Pt6,1.49989039,top|A,L1_o
O,Co6Pt6,0.624480715,hollow|A_A_B|HCP,L1_o
O,Co6Pt6,0.425774074,hollow|A_A_B|FCC,L1_o
O,Co6Pt6,1.085054476,hollow|A_B_B|HCP,L1_o
O,Co6Pt6,1.147464873,hollow|A_B_B|FCC,L1_o
O,Co6Re6,-0.482876483,top|B,L1_o
O,Co6Re6,-0.461726299,hollow|A_A_B|HCP,L1_o
O,Co6Re6,-0.194360711,hollow|A_A_B|FCC,L1_o
O,Co6Re6,-1.164200146,hollow|A_B_B|HCP,L1_o
O,Co6Re6,-0.920002603,hollow|A_B_B|FCC,L1_o
O,Co6Rh6,1.285948912,top|A,L1_o
O,Co6Rh6,0.091649437,hollow|A_A_B|HCP,L1_o
O,Co6Rh6,0.163127484,hollow|A_A_B|FCC,L1_o
O,Co6Rh6,0.224054181,hollow|A_B_B|HCP,L1_o
O,Co6Rh6,0.317961483,hollow|A_B_B|FCC,L1_o
O,Co6Ru6,-0.198616163,hollow|A_A_B|HCP,L1_o
O,Co6Ru6,0.044027747,hollow|A_A_B|FCC,L1_o
O,Co6Ru6,-0.363146258,hollow|A_B_B|HCP,L1_o
O,Co6Ru6,-0.298040709,hollow|A_B_B|FCC,L1_o
O,Co6Sc6,0.050415347,top|A,L1_o
O,Co6Sc6,0.050415347,top|A,L1_o
O,Co6Sc6,0.050415347,top|A,L1_o
O,Co6Sc6,0.604218574,top|B,L1_o
O,Co6Sc6,0.604218574,top|B,L1_o
O,Co6Sc6,0.604218574,top|B,L1_o
O,Co6Sc6,-1.810907664,bridge|B_B|A,L1_o
O,Co6Sc6,-1.810907664,bridge|B_B|A,L1_o
O,Co6Sc6,-1.810907664,bridge|B_B|A,L1_o
O,Co6Sc6,-2.176317229,hollow|A_B_B|FCC,L1_o
O,Co6Sc6,-2.176317229,hollow|A_B_B|FCC,L1_o
O,Co6Sc6,-2.176317229,hollow|A_B_B|FCC,L1_o
O,Co6Sc6,-2.28698824,4fold|A_A_B_B,L1_o
O,Co6Sc6,-2.28698824,4fold|A_A_B_B,L1_o
O,Co6Sc6,-2.28698824,4fold|A_A_B_B,L1_o
O,Co6Sn6,1.558579495,top|A,L1_o
O,Co6Sn6,2.565367228,top|B,L1_o
O,Co6Sn6,0.995432287,bridge|A_A|B,L1_o
O,Co6Sn6,1.524768262,bridge|B_B|A,L1_o
O,Co6Sn6,0.962880533,hollow|A_B_B|FCC,L1_o
O,Co6Ti6,0.766308897,top|A,L1_o
O,Co6Ti6,-0.566314749,top|B,L1_o
O,Co6Ti6,-2.233408073,bridge|B_B|A,L1_o
O,Co6Ti6,-2.535144496,hollow|A_B_B|FCC,L1_o
O,Co6Ti6,-1.607921217,4fold|A_A_B_B,L1_o
O,Co6V6,-1.339338327,hollow|A_A_B|HCP,L1_o
O,Co6V6,-2.130721834,hollow|A_A_B|FCC,L1_o
O,Co6V6,-2.131296675,hollow|A_B_B|FCC,L1_o
O,Co6W6,-0.907964831,hollow|A_A_B|HCP,L1_o
O,Co6W6,-0.776859839,hollow|A_A_B|FCC,L1_o
O,Co6W6,-1.607730329,hollow|A_B_B|HCP,L1_o
O,Co6W6,-1.503300113,hollow|A_B_B|FCC,L1_o
O,Co6Y6,-0.18960661,top|A,L1_o
O,Co6Y6,0.696978236,top|B,L1_o
O,Co6Y6,-1.729924409,bridge|B_B|A,L1_o
O,Co6Y6,-2.155700388,hollow|A_B_B|FCC,L1_o
O,Co6Y6,-2.372213342,4fold|A_A_B_B,L1_o
O,Co6Zn6,0.247652301,bridge|A_A|B,L1_o
O,Co6Zn6,0.108090147,hollow|A_A_B|HCP,L1_o
O,Co6Zn6,0.149780981,hollow|A_A_B|FCC,L1_o
O,Co6Zn6,0.633955719,hollow|A_B_B|HCP,L1_o
