adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Fe6Tc6,280.075,7.86,1.8530419882014677,7.641438733333333,0.284,431.5333333333333,3,6.954545454545454,7.666666666666666,1.971814835,hollow|A_A_B|FCC,1.0,L1_o,"['Fe', 'Fe', 'Tc']","[9, 10, 12]","['Fe', 'Fe', 'Tc', 'Tc', 'Fe', 'Fe', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Y6,325.695,13.485,1.83,7.9024681,0.151,360.8,2,7.33,8.0,0.74276724,bridge|A_A|B,1.0,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Y', 'Y', 'Fe', 'Fe', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Y6,325.695,13.485,1.396551375915065,6.778996033333333,0.2549999999999999,381.19999999999993,3,6.954545454545454,4.666666666666666,2.03319433,hollow-tilt|A_B_B|FCC,1.0,L1_o,"['Fe', 'Y', 'Y']","[10, 11, 12]","['Fe', 'Fe', 'Y', 'Y', 'Fe', 'Fe', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zn6,276.57,8.125,1.83,7.9024681,0.151,360.8,2,7.33,8.0,2.447612141,bridge|A_A|B,1.0,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Zn', 'Zn', 'Fe', 'Fe', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zn6,276.57,8.125,1.7079415057473986,8.896954033333332,0.0503333333333333,204.5,3,7.5,10.666666666666666,3.356291815,hollow|A_B_B|HCP,1.0,L1_o,"['Fe', 'Zn', 'Zn']","[10, 11, 12]","['Fe', 'Fe', 'Zn', 'Zn', 'Fe', 'Fe', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zn6,276.57,8.125,1.7079415057473986,8.896954033333332,0.0503333333333333,204.5,3,6.954545454545454,10.666666666666666,3.375789315,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Zn', 'Zn']","[9, 11, 12]","['Fe', 'Fe', 'Zn', 'Zn', 'Fe', 'Fe', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zr6,304.92499999999995,10.555,1.83,7.9024681,0.151,360.8,2,7.33,8.0,0.71299336,bridge|A_A|B,1.0,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Zr', 'Zr', 'Fe', 'Fe', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zr6,304.92499999999995,10.555,1.5600961508830151,7.268297050000001,0.2885,480.9,5,7.615384615,6.0,2.942794156,4fold|A_A_B_B,1.0,L1_o,"['Fe', 'Fe', 'Zr', 'Zr']","[9, 10, 11, 12]","['Fe', 'Fe', 'Zr', 'Zr', 'Fe', 'Fe', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Zr6,304.92499999999995,10.555,1.4792836501628508,7.0569067,0.3343333333333332,520.9333333333333,3,6.954545454545454,5.333333333333333,2.028816562,hollow-tilt|A_B_B|FCC,1.0,L1_o,"['Fe', 'Zr', 'Zr']","[10, 11, 12]","['Fe', 'Fe', 'Zr', 'Zr', 'Fe', 'Fe', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Hg6,310.07,13.765,1.7324782106818055,9.233359333333333,0.0046666666666666,259.49333333333334,3,7.5,9.333333333333332,4.078481398,hollow|A_B_B|HCP,1.0,L1_o,"['Hf', 'Hg', 'Hg']","[10, 11, 12]","['Hf', 'Hf', 'Hg', 'Hg', 'Hf', 'Hf', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Hg6,310.07,13.765,1.7324782106818055,9.233359333333333,0.0046666666666666,259.49333333333334,3,6.954545454545454,9.333333333333332,3.854677426,hollow|A_B_B|FCC,1.0,L1_o,"['Hf', 'Hg', 'Hg']","[9, 11, 12]","['Hf', 'Hf', 'Hg', 'Hg', 'Hf', 'Hf', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Ir6,351.77,10.98,2.2,8.96702,1.5638,586.0,1,7.5,9.0,4.271978011,top|B,1.0,L1_o,['Ir'],[11],"['Hf', 'Hf', 'Ir', 'Ir', 'Hf', 'Hf', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Ir6,351.77,10.98,2.2,8.96702,1.5638,586.0,2,7.33,9.0,2.493743328,bridge|B_B|A,1.0,L1_o,"['Ir', 'Ir']","[11, 12]","['Hf', 'Hf', 'Ir', 'Ir', 'Hf', 'Hf', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Ir6,351.77,10.98,1.549184447826511,7.539053333333332,0.5306,632.3333333333333,3,6.954545454545454,5.666666666666666,2.40158599,hollow|A_A_B|FCC,1.0,L1_o,"['Hf', 'Hf', 'Ir']","[9, 10, 12]","['Hf', 'Hf', 'Ir', 'Ir', 'Hf', 'Hf', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6La6,348.42,17.915,1.229588511086289,6.409013333333334,0.1659999999999999,572.4,3,7.5,3.6666666666666665,0.930602661,hollow|A_A_B|HCP,1.0,L1_o,"['La', 'Hf', 'Hf']","[10, 11, 12]","['La', 'La', 'Hf', 'Hf', 'La', 'La', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6La6,348.42,17.915,1.1629906973810744,5.992956666666666,0.3179999999999999,489.3,3,7.5,3.333333333333333,1.999209352,hollow|A_B_B|HCP,1.0,L1_o,"['La', 'La', 'Hf']","[9, 10, 11]","['La', 'La', 'Hf', 'Hf', 'La', 'La', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6La6,348.42,17.915,1.1629906973810744,5.992956666666666,0.3179999999999999,489.3,3,6.954545454545454,3.333333333333333,2.182109716,hollow|A_B_B|FCC,1.0,L1_o,"['La', 'La', 'Hf']","[9, 10, 12]","['La', 'La', 'Hf', 'Hf', 'La', 'La', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Mo6,317.17,11.41,1.5397379663238857,6.91419,0.2586666666666666,649.0,3,7.5,4.666666666666666,1.654156351,hollow|A_A_B|HCP,1.0,L1_o,"['Mo', 'Hf', 'Hf']","[9, 11, 12]","['Mo', 'Mo', 'Hf', 'Hf', 'Mo', 'Mo', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Mo6,317.17,11.41,1.675708805252273,6.95875,0.381,645.75,5,7.615384615,5.0,0.292246181,4fold|A_A_B_B,1.0,L1_o,"['Mo', 'Mo', 'Hf', 'Hf']","[9, 10, 11, 12]","['Mo', 'Mo', 'Hf', 'Hf', 'Mo', 'Mo', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Nb6,324.84000000000003,12.135,1.3931639535765232,6.802996666666666,0.3146666666666666,675.9333333333333,3,7.5,4.333333333333333,1.283404511,hollow|A_A_B|HCP,1.0,L1_o,"['Nb', 'Hf', 'Hf']","[10, 11, 12]","['Nb', 'Nb', 'Hf', 'Hf', 'Nb', 'Nb', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Nb6,324.84000000000003,12.135,1.3931639535765232,6.802996666666666,0.3146666666666666,675.9333333333333,3,6.954545454545454,4.333333333333333,1.06621032,hollow|A_A_B|FCC,1.0,L1_o,"['Nb', 'Hf', 'Hf']","[9, 11, 12]","['Nb', 'Nb', 'Hf', 'Hf', 'Nb', 'Nb', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Nb6,324.84000000000003,12.135,1.4930044627268997,6.780923333333334,0.6153333333333333,696.3666666666666,3,7.5,4.666666666666666,1.087564046,hollow|A_B_B|HCP,1.0,L1_o,"['Nb', 'Nb', 'Hf']","[9, 10, 11]","['Nb', 'Nb', 'Hf', 'Hf', 'Nb', 'Nb', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Nb6,324.84000000000003,12.135,1.4930044627268997,6.780923333333334,0.6153333333333333,696.3666666666666,3,6.954545454545454,4.666666666666666,1.073717397,hollow|A_B_B|FCC,1.0,L1_o,"['Nb', 'Nb', 'Hf']","[9, 10, 12]","['Nb', 'Nb', 'Hf', 'Hf', 'Nb', 'Nb', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf6Ni6,336.02,10.015,1.91,7.639878,1.156,395.2,2,7.33,10.0,0.844061617,bridge|B_B|A,1.0,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Hf', 'Hf', 'Ni', 'Ni', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
