adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
C,Mo6Sc6,1.240894207,hollow|A_A_B|FCC,L1_o,"['Sc', 'Mo', 'Mo']","[9, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
C,Mo6Sc6,1.240894207,hollow|A_A_B|FCC,L1_o,"['Sc', 'Mo', 'Mo']","[9, 11, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.851322745,6.91545,0.561333333,535.3333333
C,Mo6Sc6,1.737020049,hollow|A_B_B|HCP,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 11]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Sc6,1.737020049,hollow|A_B_B|HCP,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 11]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Sc6,1.737020049,hollow|A_B_B|HCP,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 11]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Sc6,1.483848191,hollow|A_B_B|FCC,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Sc6,1.483848191,hollow|A_B_B|FCC,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Sc6,1.483848191,hollow|A_B_B|FCC,L1_o,"['Sc', 'Sc', 'Mo']","[9, 10, 12]","['Sc', 'Sc', 'Mo', 'Mo', 'Sc', 'Sc', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.8,12.19,1.586757364,6.73847,0.374666667,434.6666667
C,Mo6Ta6,0.99134296,bridge|A_A|B,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ta', 'Ta', 'Mo', 'Mo', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]",2,322.415,10.115,2.16,7.09243,0.748,636
C,Mo6Ta6,1.39548344,hollow|A_B_B|HCP,L1_o,"['Mo', 'Ta', 'Ta']","[10, 11, 12]","['Mo', 'Mo', 'Ta', 'Ta', 'Mo', 'Mo', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]",3,322.415,10.115,1.693864852,7.397190667,0.464,726
C,Mo6Tc6,4.199358039,top|A,L1_o,['Mo'],[9],"['Mo', 'Tc', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[6, 7, 8, 9, 10, 11, 12]",1,294.1,9.005,2.16,7.09243,0.748,636
C,Mo6Tc6,3.643132046,top|B,L1_o,['Tc'],[11],"['Mo', 'Mo', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[5, 6, 8, 9, 10, 11, 12]",1,294.1,9.005,1.9,7.11938,0.55,573
C,Mo6Tc6,1.514018677,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Tc']","[9, 10, 11]","['Mo', 'Mo', 'Tc', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.1,9.005,2.069602948,7.101413333,0.682,615
C,Mo6Tc6,1.528085193,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Tc']","[9, 10, 12]","['Mo', 'Mo', 'Tc', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.1,9.005,2.069602948,7.101413333,0.682,615
C,Mo6Tc6,1.248992179,hollow|A_B_B|HCP,L1_o,"['Mo', 'Tc', 'Tc']","[10, 11, 12]","['Mo', 'Mo', 'Tc', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.1,9.005,1.982989057,7.110396667,0.616,594
C,Mo6Tc6,1.393060674,hollow|A_B_B|FCC,L1_o,"['Mo', 'Tc', 'Tc']","[9, 11, 12]","['Mo', 'Mo', 'Tc', 'Tc', 'Mo', 'Mo', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.1,9.005,1.982989057,7.110396667,0.616,594
C,Mo6Ti6,1.325873182,hollow|A_A_B|HCP,L1_o,"['Ti', 'Mo', 'Mo']","[10, 11, 12]","['Ti', 'Ti', 'Mo', 'Mo', 'Ti', 'Ti', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]",3,304.89,10.01,1.929639028,7.004326667,0.525,571.9
